Player,Top,Jungle,Mid,Bottom,Support,Flex Score
Quio,3,5,4,5,0,0.7560418664314386
Chris,3,2,1,0,2,0.7149561437252154
Jason Canto,1,0,2,3,1,0.6742355928288177
Ryan,0,1,1,0,1,0.6348516283298893
Jason,1,5,1,1,1,0.6024768040000374
Bwosley,2,0,2,0,1,0.6
Jordan,3,5,0,2,0,0.5757359312880714
Woosung,3,6,0,0,9,0.5653865063198233
Sam,0,6,4,0,11,0.5614908787344252
Hubert,1,2,0,10,4,0.5323621902505461
Cobi,9,0,2,0,6,0.5323621902505461
Liam,0,5,1,3,0,0.5182337024738044
Stephanie,0,0,1,1,0,0.4522774424948338
Eunice,0,0,2,0,1,0.40371520600005617
Basil,10,3,1,0,0,0.3989804580582106
Declan,1,0,8,2,0,0.3915199807024904
Miggy,0,0,9,0,4,0.3884736334045603
Hunter,3,0,0,0,1,0.348079759479735
Bobby,1,0,3,0,0,0.348079759479735
Anthony,2,0,2,17,0,0.31190888121186877
Meagan,0,0,0,0,1,0.10557280900008403
Sean,0,2,0,0,0,0.10557280900008392
Wilfred,0,3,0,0,0,0.10557280900008392
