Player,Wins,Losses,Win Percentage,Kills,Deaths,Assists,KDA,CS,Vision Score,Average Vision Score,Fantasy Score,Average Score,Total Kills of Team,Kill Participation,Minutes Played,CS/Min,Average Kills,Average Deaths,Average Assists,Kills/Minute,Deaths/Minute,Assists/Minute,Damage Dealt,DPM
Liam,3,6,0.333,83,52,96,3.442,2408,199,22.111,402.03000000000003,44.67,288,0.622,346,6.96,9.222,5.778,10.667,0.24,0.15,0.277,324415,937.616
Quio,10,7,0.588,118,85,164,3.318,3898,518,30.471,609.8800000000001,35.875,475,0.594,619,6.297,6.941,5.0,9.647,0.191,0.137,0.265,465630,752.229
Bobby,4,0,1.0,46,33,22,2.061,971,81,20.25,142.76,35.69,125,0.544,146,6.651,11.5,8.25,5.5,0.315,0.226,0.151,143990,986.233
Jason,5,4,0.556,56,42,89,3.452,2301,393,43.667,318.6600000000001,35.407,251,0.578,352,6.537,6.222,4.667,9.889,0.159,0.119,0.253,242915,690.099
Wilfred,2,1,0.667,24,14,20,3.143,842,63,21.0,105.57,35.19,91,0.484,111,7.586,8.0,4.667,6.667,0.216,0.126,0.18,70995,639.595
Jordan,6,4,0.6,82,52,64,2.808,2279,321,32.1,338.84,33.884,288,0.507,324,7.034,8.2,5.2,6.4,0.253,0.16,0.198,214540,662.16
Jason Canto,4,3,0.571,39,29,72,3.828,1239,190,27.143,234.89,33.556,215,0.516,249,4.976,5.571,4.143,10.286,0.157,0.116,0.289,139681,560.968
Anthony,14,7,0.667,170,119,146,2.655,4726,519,24.714,688.2099999999999,32.772,585,0.54,753,6.276,8.095,5.667,6.952,0.226,0.158,0.194,496744,659.687
Stephanie,0,2,0.0,15,10,12,2.7,415,28,14.0,59.550000000000004,29.775,38,0.711,63,6.587,7.5,5.0,6.0,0.238,0.159,0.19,45061,715.254
Hubert,6,11,0.353,101,96,167,2.792,2798,548,32.235,505.38,29.728,458,0.585,611,4.579,5.941,5.647,9.824,0.165,0.157,0.273,322011,527.023
Basil,8,6,0.571,92,70,102,2.771,3126,382,27.286,412.36,29.454,422,0.46,500,6.252,6.571,5.0,7.286,0.184,0.14,0.204,324554,649.108
Sean,1,1,0.5,15,12,11,2.167,583,68,34.0,55.230000000000004,27.615,49,0.531,78,7.474,7.5,6.0,5.5,0.192,0.154,0.141,51660,662.308
Declan,4,7,0.364,61,46,82,3.109,1968,271,24.636,303.22999999999996,27.566,271,0.528,362,5.436,5.545,4.182,7.455,0.169,0.127,0.227,223770,618.149
Woosung,6,12,0.333,74,107,205,2.607,2122,868,48.222,449.6199999999999,24.979,479,0.582,646,3.285,4.111,5.944,11.389,0.115,0.166,0.317,256953,397.76
Cobi,10,8,0.556,78,101,182,2.574,2587,475,26.389,422.62000000000006,23.479,495,0.525,655,3.95,4.333,5.611,10.111,0.119,0.154,0.278,330824,505.075
Eunice,1,2,0.333,9,15,30,2.6,495,186,62.0,65.25,21.75,61,0.639,114,4.342,3.0,5.0,10.0,0.079,0.132,0.263,48592,426.246
Sam,12,9,0.571,51,122,261,2.557,2104,1196,56.952,440.8399999999999,20.992,582,0.536,753,2.794,2.429,5.81,12.429,0.068,0.162,0.347,281765,374.19
Ryan,1,2,0.333,10,18,19,1.611,402,139,46.333,34.97,11.657,61,0.475,114,3.526,3.333,6.0,6.333,0.088,0.158,0.167,41281,362.114
Chris,3,5,0.375,14,31,50,2.065,1482,241,30.125,89.87,11.234,180,0.356,304,4.875,1.75,3.875,6.25,0.046,0.102,0.164,97519,320.786
Miggy,5,8,0.385,37,95,111,1.558,1389,228,17.538,110.29,8.484,365,0.405,495,2.806,2.846,7.308,8.538,0.075,0.192,0.224,130335,263.303
Hunter,2,2,0.5,10,16,15,1.562,543,73,18.25,31.080000000000005,7.77,91,0.275,125,4.344,2.5,4.0,3.75,0.08,0.128,0.12,50188,401.504
Meagan,0,1,0.0,2,6,6,1.333,24,71,71.0,5.79,5.79,12,0.667,36,0.667,2.0,6.0,6.0,0.056,0.167,0.167,12410,344.722
Bwosley,3,2,0.6,16,34,21,1.088,836,135,27.0,19.109999999999996,3.822,133,0.278,184,4.543,3.2,6.8,4.2,0.087,0.185,0.114,57670,313.424
