Player,Wins,Losses,Win Percentage,Kills,Deaths,Assists,KDA,CS,Vision Score,Fantasy Score,Average Score,Total Kills of Team,Kill Participation,Minutes Played,CS/Min,Average Kills,Average Deaths,Average Assists,Kills/Minute,Deaths/Minute,Assists/Minute,Damage Dealt,DPM
Basil,3,1,0.75,30,12,35,5.417,967,134,170.37000000000003,42.593,111,0.586,145,6.669,7.5,3.0,8.75,0.207,0.083,0.241,105673,728.779
Jordan,2,1,0.667,26,11,22,4.364,569,79,124.63999999999999,41.547,71,0.676,88,6.466,8.667,3.667,7.333,0.295,0.125,0.25,49566,563.25
Hunter,2,1,0.667,9,10,12,2.1,332,51,35.870000000000005,11.957,71,0.296,88,3.773,3.0,3.333,4.0,0.102,0.114,0.136,34905,396.648
Anthony,4,3,0.571,59,33,37,2.909,1429,155,233.04,33.291,160,0.6,233,6.133,8.429,4.714,5.286,0.253,0.142,0.159,138290,593.519
Quio,4,3,0.571,36,28,61,3.464,1459,226,207.89,29.699,160,0.606,233,6.262,5.143,4.0,8.714,0.155,0.12,0.262,117168,502.867
Sam,4,3,0.571,19,26,69,3.385,1051,295,161.26,23.037,160,0.55,233,4.511,2.714,3.714,9.857,0.082,0.112,0.296,96676,414.918
Cobi,4,3,0.571,12,42,69,1.929,699,212,77.59,11.084,160,0.506,233,3.0,1.714,6.0,9.857,0.052,0.18,0.296,73638,316.043
Hubert,3,3,0.5,34,20,55,4.45,1194,118,203.84000000000003,33.973,132,0.674,202,5.911,5.667,3.333,9.167,0.168,0.099,0.272,106506,527.257
Declan,3,3,0.5,36,23,38,3.217,1078,145,169.03,28.172,135,0.548,201,5.363,6.0,3.833,6.333,0.179,0.114,0.189,113020,562.289
Woosung,3,3,0.5,18,26,63,3.115,855,210,139.04999999999998,23.175,135,0.6,201,4.254,3.0,4.333,10.5,0.09,0.129,0.313,77892,387.522
Sean,1,1,0.5,15,12,11,2.167,583,68,55.230000000000004,27.615,49,0.531,78,7.474,7.5,6.0,5.5,0.192,0.154,0.141,51660,662.308
Chris,2,4,0.333,8,20,25,1.65,901,160,39.01,6.502,110,0.3,202,4.46,1.333,3.333,4.167,0.04,0.099,0.124,64826,320.921
Jason,1,2,0.333,16,14,27,3.071,735,123,89.5,29.833,64,0.672,113,6.504,5.333,4.667,9.0,0.142,0.124,0.239,64069,566.982
Eunice,1,2,0.333,9,15,30,2.6,495,186,65.25,21.75,61,0.639,114,4.342,3.0,5.0,10.0,0.079,0.132,0.263,48592,426.246
Ryan,1,2,0.333,10,18,19,1.611,402,139,34.97,11.657,61,0.475,114,3.526,3.333,6.0,6.333,0.088,0.158,0.167,41281,362.114
Bwosley,1,2,0.333,12,17,10,1.294,570,81,26.749999999999996,8.917,64,0.344,113,5.044,4.0,5.667,3.333,0.106,0.15,0.088,30875,273.23
Miggy,1,2,0.333,5,24,16,0.875,67,105,-14.079999999999998,-4.693,64,0.328,113,0.593,1.667,8.0,5.333,0.044,0.212,0.142,14568,128.92
Meagan,0,1,0.0,2,6,6,1.333,24,71,5.79,5.79,12,0.667,36,0.667,2.0,6.0,6.0,0.056,0.167,0.167,12410,344.722
