Date,Series #,Game #,Blue Side,Red Side,Winning Side,Length,Winning Team Gold,Losing Team Gold,Winning Team Kills,Losing Team Kills,Forfeit
4/16/2023,1,1,Jason Nguyengards,Taewonnies,Blue,44:38,80254,74816,40,23,FALSE
4/16/2023,2,1,Taewonnies,The Founders,Blue,36:32,70853,57956,32,18,FALSE
4/16/2023,3,1,The Founders,Jason Nguyengards,Blue,40:58,74186,59663,31,13,FALSE
4/30/2023,1,2,Taewonnies,Jason Nguyengards,Blue,26:40,52265,41261,29,11,FALSE
4/30/2023,2,2,The Founders,Taewonnies,Red,35:36,66563,52974,27,12,FALSE
9/2/2023,4,1,Quintessential Quintuplets,Taewonnies,Blue,25:07,48734,37377,31,9,FALSE
9/2/2023,4,2,Taewonnies,Quintessential Quintuplets,Blue,26:07,35004,25886,18,8,TRUE
9/2/2023,4,3,Quintessential Quintuplets,Taewonnies,Blue,34:54,68937,60256,32,22,FALSE
9/23/2023,5,1,JSA EBOYS,Triple T,Red,36:40,68560,57739,29,20,FALSE
9/23/2023,5,2,Triple T,JSA EBOYS,Red,64:35,128319,119728,50,41,FALSE
9/29/2023,6,1,Basil's Dazzles,Liam's Premiums,Blue,31:00,63623,49905,37,15,FALSE
9/29/2023,6,2,Liam's Premiums,Basil's Dazzles,Blue,28:55,63330,49871,38,23,FALSE
9/29/2023,6,3,Basil's Dazzles,Liam's Premiums,Red,36:55,74209,70158,40,38,FALSE
10/13/2023,7,1,Net Knights,Zazazoso Smokers,Blue,37:45,74039,70973,46,43,FALSE
10/13/2023,7,2,Zazazoso Smokers,Net Knights,Red,32:21,62185,55959,23,23,FALSE
