Player,Wins,Losses,Win Percentage,Kills,Deaths,Assists,KDA,CS,Vision Score,Fantasy Score,Average Score,Total Kills of Team,Kill Participation,Minutes Played,CS/Min,Average CS/Min,Average Kills,Average Deaths,Average Assists,Kills/Minute,Deaths/Minute,Assists/Minute,Damage Dealt,DPM
Anthony,3,1,0.75,46,17,23,4.059,961,113,194.26,48.565,111,0.622,145,6.628,1.657,11.5,4.25,5.75,0.317,0.117,0.159,97417,671.841
Basil,3,1,0.75,30,12,35,5.417,967,134,170.37000000000003,42.593,111,0.586,145,6.669,1.667,7.5,3.0,8.75,0.207,0.083,0.241,105673,728.779
Quio,3,1,0.75,23,15,44,4.467,974,167,153.09,38.273,111,0.604,145,6.717,1.679,5.75,3.75,11.0,0.159,0.103,0.303,71335,491.966
Sam,3,1,0.75,10,14,46,4.0,622,218,107.12,26.78,111,0.505,145,4.29,1.073,2.5,3.5,11.5,0.069,0.097,0.317,52522,362.221
Cobi,3,1,0.75,2,23,54,2.435,374,150,58.24,14.56,111,0.505,145,2.579,0.645,0.5,5.75,13.5,0.014,0.159,0.372,32231,222.283
Sean,1,1,0.5,15,12,11,2.167,583,68,55.230000000000004,27.615,49,0.531,78,7.474,3.737,7.5,6.0,5.5,0.192,0.154,0.141,51660,662.308
Hubert,1,2,0.333,21,12,18,3.25,734,67,94.69000000000001,31.563,61,0.639,114,6.439,2.146,7.0,4.0,6.0,0.184,0.105,0.158,70091,614.833
Declan,1,2,0.333,22,13,16,2.923,624,100,92.24,30.747,64,0.594,113,5.522,1.841,7.333,4.333,5.333,0.195,0.115,0.142,71571,633.372
Jason,1,2,0.333,16,14,27,3.071,735,123,89.5,29.833,64,0.672,113,6.504,2.168,5.333,4.667,9.0,0.142,0.124,0.239,64069,566.982
Eunice,1,2,0.333,9,15,30,2.6,495,186,65.25,21.75,61,0.639,114,4.342,1.447,3.0,5.0,10.0,0.079,0.132,0.263,48592,426.246
Woosung,1,2,0.333,9,15,24,2.2,659,102,50.69,16.897,64,0.516,113,5.832,1.944,3.0,5.0,8.0,0.08,0.133,0.212,43918,388.655
Ryan,1,2,0.333,10,18,19,1.611,402,139,34.97,11.657,61,0.475,114,3.526,1.175,3.333,6.0,6.333,0.088,0.158,0.167,41281,362.114
Chris,1,2,0.333,4,9,14,2.0,664,76,27.44,9.147,61,0.295,114,5.825,1.942,1.333,3.0,4.667,0.035,0.079,0.123,39254,344.333
Bwosley,1,2,0.333,12,17,10,1.294,570,81,26.749999999999996,8.917,64,0.344,113,5.044,1.681,4.0,5.667,3.333,0.106,0.15,0.088,30875,273.23
Miggy,1,2,0.333,5,24,16,0.875,67,105,-14.079999999999998,-4.693,64,0.328,113,0.593,0.198,1.667,8.0,5.333,0.044,0.212,0.142,14568,128.92
Meagan,0,1,0.0,2,6,6,1.333,24,71,5.79,5.79,12,0.667,36,0.667,0.667,2.0,6.0,6.0,0.056,0.167,0.167,12410,344.722
