Player,Wins,Losses,Win Percentage,Kills,Deaths,Assists,KDA,CS,Vision Score,Average Vision Score,Fantasy Score,Average Score,Total Kills of Team,Kill Participation,Minutes Played,CS/Min,Average Kills,Average Deaths,Average Assists,Kills/Minute,Deaths/Minute,Assists/Minute,Damage Dealt,DPM
Liam,3,6,0.333,83,52,96,3.442,2408,199,22.111,402.03000000000003,44.67,288,0.622,346,6.96,9.222,5.778,10.667,0.24,0.15,0.277,324415,937.616
Jason,6,3,0.667,66,41,83,3.634,2256,356,39.556,347.36,38.596,269,0.554,329,6.857,7.333,4.556,9.222,0.201,0.125,0.252,244969,744.587
Bobby,8,1,0.889,92,63,69,2.556,1933,172,19.111,344.93,38.326,310,0.519,303,6.38,10.222,7.0,7.667,0.304,0.208,0.228,308385,1017.772
Jordan,10,8,0.556,150,102,124,2.686,3916,535,29.722,607.91,33.773,523,0.524,565,6.931,8.333,5.667,6.889,0.265,0.181,0.219,363338,643.076
Jason Canto,8,4,0.667,65,44,117,4.136,2278,278,23.167,398.68,33.223,362,0.503,405,5.625,5.417,3.667,9.75,0.16,0.109,0.289,233055,575.444
Quio,10,11,0.476,146,122,185,2.713,4568,556,26.476,661.48,31.499,579,0.572,715,6.389,6.952,5.81,8.81,0.204,0.171,0.259,577612,807.849
Nathan,2,1,0.667,23,16,21,2.75,507,53,17.667,93.72,31.24,120,0.367,91,5.571,7.667,5.333,7.0,0.253,0.176,0.231,58084,638.286
Anthony,11,9,0.55,156,116,134,2.5,4437,484,24.2,612.57,30.629,546,0.531,703,6.312,7.8,5.8,6.7,0.222,0.165,0.191,459102,653.061
Stephanie,0,2,0.0,15,10,12,2.7,415,28,14.0,59.550000000000004,29.775,38,0.711,63,6.587,7.5,5.0,6.0,0.238,0.159,0.19,45061,715.254
xTiny,2,0,1.0,14,12,14,2.333,348,34,17.0,53.18,26.59,65,0.431,66,5.273,7.0,6.0,7.0,0.212,0.182,0.212,26835,406.591
Declan,3,5,0.375,39,33,66,3.182,1344,171,21.375,210.98999999999998,26.374,207,0.507,249,5.398,4.875,4.125,8.25,0.157,0.133,0.265,152199,611.241
Hubert,8,14,0.364,129,137,203,2.423,3166,702,31.909,577.7599999999999,26.262,612,0.542,738,4.29,5.864,6.227,9.227,0.175,0.186,0.275,389053,527.172
Meagan,2,0,1.0,7,13,28,2.692,93,130,65.0,52.43,26.215,65,0.538,66,1.409,3.5,6.5,14.0,0.106,0.197,0.424,33734,511.121
Woosung,9,14,0.391,99,127,242,2.685,2205,1092,47.478,575.65,25.028,653,0.522,778,2.834,4.304,5.522,10.522,0.127,0.163,0.311,313613,403.102
Cobi,11,11,0.5,125,131,179,2.321,3249,447,20.318,519.84,23.629,622,0.489,755,4.303,5.682,5.955,8.136,0.166,0.174,0.237,428199,567.151
Wilfred,3,2,0.6,30,29,29,2.034,1198,95,19.0,107.72999999999999,21.546,143,0.413,174,6.885,6.0,5.8,5.8,0.172,0.167,0.167,97872,562.483
Basil,8,8,0.5,97,99,99,1.98,3344,362,22.625,340.53999999999996,21.284,472,0.415,539,6.204,6.062,6.188,6.188,0.18,0.184,0.184,309987,575.115
Sam,13,12,0.52,73,151,289,2.397,2670,1233,49.32,505.3499999999999,20.214,720,0.503,849,3.145,2.92,6.04,11.56,0.086,0.178,0.34,366370,431.531
Chris,3,3,0.5,13,26,40,2.038,1028,178,29.667,73.18,12.197,150,0.353,219,4.694,2.167,4.333,6.667,0.059,0.119,0.183,68052,310.74
Miggy,6,12,0.333,48,118,154,1.712,2336,339,18.833,186.31,10.351,485,0.416,627,3.726,2.667,6.556,8.556,0.077,0.188,0.246,199073,317.501
Hunter,2,4,0.333,11,29,25,1.241,742,136,22.667,21.220000000000006,3.537,127,0.283,189,3.926,1.833,4.833,4.167,0.058,0.153,0.132,73600,389.418
Bwosley,2,0,1.0,4,17,11,0.882,266,54,27.0,-7.64,-3.82,69,0.217,71,3.746,2.0,8.5,5.5,0.056,0.239,0.155,26795,377.394
